ChemicalId,Kg,RealKg,ScalerId,StartScale,EndScale
52,3000.00,2950.00,1052,2021-12-30 17:29:44.087,2021-12-30 17:29:53.970
58,510.00,500.00,1053,2022-01-06 19:18:03.510,2022-01-06 19:18:20.320
71,2040.00,2000.00,1053,2022-01-06 19:18:26.117,2022-01-06 19:18:32.367
147,1500.00,1450.00,1053,2022-01-06 19:18:40.963,2022-01-06 19:18:45.867
153,5440.00,5400.00,1053,2022-01-11 22:44:18.963,2022-01-11 22:44:31.677
58,2664.00,2650.00,1053,2022-01-11 22:44:38.223,2022-01-11 22:44:54.943
51,56000.00,55950.00,1053,2022-01-13 14:55:27.950,2022-01-13 14:55:39.607
190,6000.00,5980.00,1053,2022-01-13 14:55:57.450,2022-01-13 14:56:12.187
191,3040.00,3010.00,1053,2022-01-13 14:56:31.313,2022-01-13 14:56:40.673
147,4000.00,3950.00,1053,2022-01-13 14:56:50.093,2022-01-13 14:57:01.310
201,6000.00,5950.00,1053,2022-01-13 14:57:16.453,2022-01-13 14:57:47.150
